Player,TEAM,POS,G,SACK,SACK_mean,INT,INT_mean,FR,FR_mean,FF,FF_mean,SFTY,SFTY_mean,D_TD,D_TD_mean,ST_TD,ST_TD_mean,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
New England Patriots,NE,DST,16,47,2.94,25,1.56,11,0.69,14,0.88,1,0.06,5,0.31,2,0.12,232.0,14.5,12.5,10.33,12.57,0,4,2,2,8,3.0,10.0,15.28,232.0,14.5,12.5,10.33,12.57,0,4,2,2,8,3.0,10.0,15.28,232.0,14.5,12.5,10.33,12.57,0,4,2,2,8,3.0,10.0,15.28
Pittsburgh Steelers,PIT,DST,16,54,3.38,20,1.25,18,1.12,19,1.19,0,0.0,3,0.19,1,0.06,181.0,11.31,11.5,6.85,10.87,2,1,3,5,5,4.33,5.0,13.48,181.0,11.31,11.5,6.85,10.87,2,1,3,5,5,4.33,5.0,13.48,181.0,11.31,11.5,6.85,10.87,2,1,3,5,5,4.33,5.0,13.48
Buffalo Bills,BUF,DST,16,44,2.75,14,0.88,9,0.56,15,0.94,1,0.06,0,0.0,1,0.06,137.0,8.56,9.0,4.15,9.32,0,4,4,7,1,3.0,8.0,11.75,137.0,8.56,9.0,4.15,9.32,0,4,4,7,1,3.0,8.0,11.75,137.0,8.56,9.0,4.15,9.32,0,4,4,7,1,3.0,8.0,11.75
Los Angeles Rams,LAR,DST,16,50,3.12,13,0.81,11,0.69,13,0.81,1,0.06,4,0.25,0,0.0,146.0,9.12,9.0,6.76,8.79,2,1,8,1,4,4.33,2.5,10.8,146.0,9.12,9.0,6.76,8.79,2,1,8,1,4,4.33,2.5,10.8,146.0,9.12,9.0,6.76,8.79,2,1,8,1,4,4.33,2.5,10.8
Kansas City Chiefs,KC,DST,16,45,2.81,16,1.0,7,0.44,12,0.75,0,0.0,3,0.19,1,0.06,148.0,9.25,9.0,6.64,8.96,1,6,1,6,2,1.29,8.0,10.72,148.0,9.25,9.0,6.64,8.96,1,6,1,6,2,1.29,8.0,10.72,148.0,9.25,9.0,6.64,8.96,1,6,1,6,2,1.29,8.0,10.72
New Orleans Saints,NO,DST,16,51,3.19,13,0.81,10,0.62,10,0.62,1,0.06,3,0.19,1,0.06,143.0,8.94,7.5,5.16,9.22,1,4,4,3,4,2.2,7.0,10.37,143.0,8.94,7.5,5.16,9.22,1,4,4,3,4,2.2,7.0,10.37,143.0,8.94,7.5,5.16,9.22,1,4,4,3,4,2.2,7.0,10.37
San Francisco 49ers,SF,DST,16,48,3.0,12,0.75,15,0.94,21,1.31,0,0.0,5,0.31,0,0.0,163.0,10.19,8.5,7.81,9.47,2,3,3,2,6,2.2,4.0,10.19,163.0,10.19,8.5,7.81,9.47,2,3,3,2,6,2.2,4.0,10.19,163.0,10.19,8.5,7.81,9.47,2,3,3,2,6,2.2,4.0,10.19
Minnesota Vikings,MIN,DST,16,48,3.0,17,1.06,14,0.88,18,1.12,1,0.06,2,0.12,0,0.0,144.0,9.0,7.5,6.22,8.86,0,4,7,3,2,3.0,5.0,10.11,144.0,9.0,7.5,6.22,8.86,0,4,7,3,2,3.0,5.0,10.11,144.0,9.0,7.5,6.22,8.86,0,4,7,3,2,3.0,5.0,10.11
Baltimore Ravens,BAL,DST,16,37,2.31,13,0.81,12,0.75,15,0.94,0,0.0,6,0.38,0,0.0,153.0,9.56,8.5,6.84,9.19,2,4,3,3,4,1.67,3.5,9.67,153.0,9.56,8.5,6.84,9.19,2,4,3,3,4,1.67,3.5,9.67,153.0,9.56,8.5,6.84,9.19,2,4,3,3,4,1.67,3.5,9.67
Indianapolis Colts,IND,DST,16,41,2.56,15,0.94,8,0.5,13,0.81,2,0.12,1,0.06,2,0.12,127.0,7.94,7.5,6.79,7.64,1,5,5,4,1,1.67,5.0,8.9,127.0,7.94,7.5,6.79,7.64,1,5,5,4,1,1.67,5.0,8.9,127.0,7.94,7.5,6.79,7.64,1,5,5,4,1,1.67,5.0,8.9
Tennessee Titans,TEN,DST,16,43,2.69,14,0.88,9,0.56,10,0.62,1,0.06,3,0.19,1,0.06,133.0,8.31,7.0,6.22,8.18,2,3,5,4,2,2.2,3.0,8.68,133.0,8.31,7.0,6.22,8.18,2,3,5,4,2,2.2,3.0,8.68,133.0,8.31,7.0,6.22,8.18,2,3,5,4,2,2.2,3.0,8.68
Seattle Seahawks,SEA,DST,16,28,1.75,16,1.0,16,1.0,18,1.12,0,0.0,3,0.19,0,0.0,124.0,7.75,6.5,5.63,7.82,0,7,4,2,3,1.29,5.0,8.34,124.0,7.75,6.5,5.63,7.82,0,7,4,2,3,1.29,5.0,8.34,124.0,7.75,6.5,5.63,7.82,0,7,4,2,3,1.29,5.0,8.34
Tampa Bay Buccaneers,TB,DST,16,47,2.94,12,0.75,16,1.0,20,1.25,0,0.0,6,0.38,0,0.0,134.0,8.38,7.0,6.93,8.02,4,2,3,2,5,1.67,1.75,8.03,134.0,8.38,7.0,6.93,8.02,4,2,3,2,5,1.67,1.75,8.03,134.0,8.38,7.0,6.93,8.02,4,2,3,2,5,1.67,1.75,8.03
Green Bay Packers,GB,DST,16,41,2.56,17,1.06,7,0.44,11,0.69,0,0.0,0,0.0,0,0.0,110.0,6.88,7.5,5.08,7.11,2,5,3,5,1,1.29,3.0,7.97,110.0,6.88,7.5,5.08,7.11,2,5,3,5,1,1.29,3.0,7.97,110.0,6.88,7.5,5.08,7.11,2,5,3,5,1,1.29,3.0,7.97
New York Jets,NYJ,DST,16,35,2.19,12,0.75,9,0.56,8,0.5,2,0.12,5,0.31,1,0.06,133.0,8.31,5.5,6.35,8.14,3,5,2,1,5,1.0,2.0,7.14,133.0,8.31,5.5,6.35,8.14,3,5,2,1,5,1.0,2.0,7.14,133.0,8.31,5.5,6.35,8.14,3,5,2,1,5,1.0,2.0,7.14
Jacksonville Jaguars,JAC,DST,16,47,2.94,10,0.62,9,0.56,13,0.81,0,0.0,2,0.12,0,0.0,103.0,6.44,5.5,6.21,6.34,3,5,4,0,4,1.0,1.33,6.16,103.0,6.44,5.5,6.21,6.34,3,5,4,0,4,1.0,1.33,6.16,103.0,6.44,5.5,6.21,6.34,3,5,4,0,4,1.0,1.33,6.16
Philadelphia Eagles,PHI,DST,16,43,2.69,11,0.69,9,0.56,15,0.94,0,0.0,3,0.19,0,0.0,113.0,7.06,5.5,8.36,6.45,4,4,5,2,1,1.0,0.75,6.07,113.0,7.06,5.5,8.36,6.45,4,4,5,2,1,1.0,0.75,6.07,113.0,7.06,5.5,8.36,6.45,4,4,5,2,1,1.0,0.75,6.07
Dallas Cowboys,DAL,DST,16,39,2.44,7,0.44,10,0.62,13,0.81,0,0.0,1,0.06,0,0.0,99.0,6.19,4.5,5.23,6.36,3,6,3,2,2,0.78,1.33,5.61,99.0,6.19,4.5,5.23,6.36,3,6,3,2,2,0.78,1.33,5.61,99.0,6.19,4.5,5.23,6.36,3,6,3,2,2,0.78,1.33,5.61
Washington Commanders,WAS,DST,16,46,2.88,13,0.81,9,0.56,15,0.94,0,0.0,0,0.0,1,0.06,94.0,5.88,5.0,5.38,6.0,3,6,4,2,1,0.78,1.0,5.59,94.0,5.88,5.0,5.38,6.0,3,6,4,2,1,0.78,1.0,5.59,94.0,5.88,5.0,5.38,6.0,3,6,4,2,1,0.78,1.0,5.59
Denver Broncos,DEN,DST,16,40,2.5,10,0.62,6,0.38,8,0.5,0,0.0,1,0.06,0,0.0,101.0,6.31,5.0,5.99,6.27,4,6,3,1,2,0.6,0.75,5.56,101.0,6.31,5.0,5.99,6.27,4,6,3,1,2,0.6,0.75,5.56,101.0,6.31,5.0,5.99,6.27,4,6,3,1,2,0.6,0.75,5.56
Detroit Lions,DET,DST,16,28,1.75,7,0.44,11,0.69,13,0.81,0,0.0,1,0.06,2,0.12,78.0,4.88,5.5,4.46,5.21,3,5,6,2,0,1.0,0.67,5.49,78.0,4.88,5.5,4.46,5.21,3,5,6,2,0,1.0,0.67,5.49,78.0,4.88,5.5,4.46,5.21,3,5,6,2,0,1.0,0.67,5.49
Houston Texans,HOU,DST,16,31,1.94,12,0.75,10,0.62,14,0.88,0,0.0,2,0.12,0,0.0,94.0,5.88,5.0,7.17,5.58,3,6,3,2,2,0.78,1.33,5.48,94.0,5.88,5.0,7.17,5.58,3,6,3,2,2,0.78,1.33,5.48,94.0,5.88,5.0,7.17,5.58,3,6,3,2,2,0.78,1.33,5.48
Chicago Bears,CHI,DST,16,32,2.0,10,0.62,9,0.56,12,0.75,1,0.06,1,0.06,1,0.06,102.0,6.38,4.5,5.54,6.46,2,9,3,0,2,0.45,1.0,5.41,102.0,6.38,4.5,5.54,6.46,2,9,3,0,2,0.45,1.0,5.41,102.0,6.38,4.5,5.54,6.46,2,9,3,0,2,0.45,1.0,5.41
Cleveland Browns,CLE,DST,16,38,2.38,14,0.88,6,0.38,12,0.75,0,0.0,1,0.06,0,0.0,91.0,5.69,4.5,5.02,5.91,3,7,2,3,1,0.6,1.33,5.32,91.0,5.69,4.5,5.02,5.91,3,7,2,3,1,0.6,1.33,5.32,91.0,5.69,4.5,5.02,5.91,3,7,2,3,1,0.6,1.33,5.32
Carolina Panthers,CAR,DST,16,53,3.31,14,0.88,7,0.44,8,0.5,2,0.12,1,0.06,0,0.0,95.0,5.94,3.5,6.84,5.71,3,6,2,2,3,0.78,1.67,4.95,95.0,5.94,3.5,6.84,5.71,3,6,2,2,3,0.78,1.67,4.95,95.0,5.94,3.5,6.84,5.71,3,6,2,2,3,0.78,1.67,4.95
New York Giants,NYG,DST,16,36,2.25,10,0.62,6,0.38,8,0.5,1,0.06,2,0.12,0,0.0,86.0,5.38,4.5,6.74,5.18,5,4,4,2,1,0.78,0.6,4.9,86.0,5.38,4.5,6.74,5.18,5,4,4,2,1,0.78,0.6,4.9,86.0,5.38,4.5,6.74,5.18,5,4,4,2,1,0.78,0.6,4.9
Atlanta Falcons,ATL,DST,16,28,1.75,12,0.75,8,0.5,13,0.81,0,0.0,2,0.12,1,0.06,98.0,6.12,3.5,7.77,5.7,7,2,1,3,3,0.78,0.86,4.74,98.0,6.12,3.5,7.77,5.7,7,2,1,3,3,0.78,0.86,4.74,98.0,6.12,3.5,7.77,5.7,7,2,1,3,3,0.78,0.86,4.74
Los Angeles Chargers,LAC,DST,16,30,1.88,11,0.69,3,0.19,5,0.31,0,0.0,0,0.0,1,0.06,81.0,5.06,3.5,3.79,5.64,2,8,4,1,1,0.6,1.0,4.66,81.0,5.06,3.5,3.79,5.64,2,8,4,1,1,0.6,1.0,4.66,81.0,5.06,3.5,3.79,5.64,2,8,4,1,1,0.6,1.0,4.66
Cincinnati Bengals,CIN,DST,16,31,1.94,11,0.69,5,0.31,9,0.56,1,0.06,0,0.0,1,0.06,67.0,4.19,3.5,4.58,4.45,6,4,4,2,0,0.6,0.33,3.96,67.0,4.19,3.5,4.58,4.45,6,4,4,2,0,0.6,0.33,3.96,67.0,4.19,3.5,4.58,4.45,6,4,4,2,0,0.6,0.33,3.96
Las Vegas Raiders,LV,DST,16,32,2.0,9,0.56,6,0.38,8,0.5,0,0.0,2,0.12,0,0.0,70.0,4.38,3.0,5.43,4.45,4,7,2,2,1,0.45,0.75,3.77,70.0,4.38,3.0,5.43,4.45,4,7,2,2,1,0.45,0.75,3.77,70.0,4.38,3.0,5.43,4.45,4,7,2,2,1,0.45,0.75,3.77
Arizona Cardinals,ARI,DST,16,40,2.5,7,0.44,10,0.62,19,1.19,0,0.0,0,0.0,0,0.0,68.0,4.25,3.0,4.54,4.52,7,4,3,1,1,0.45,0.29,3.68,68.0,4.25,3.0,4.54,4.52,7,4,3,1,1,0.45,0.29,3.68,68.0,4.25,3.0,4.54,4.52,7,4,3,1,1,0.45,0.29,3.68
Miami Dolphins,MIA,DST,16,23,1.44,13,0.81,3,0.19,9,0.56,1,0.06,1,0.06,1,0.06,50.0,3.12,2.5,3.88,3.46,5,8,1,2,0,0.23,0.4,2.9,50.0,3.12,2.5,3.88,3.46,5,8,1,2,0,0.23,0.4,2.9,50.0,3.12,2.5,3.88,3.46,5,8,1,2,0,0.23,0.4,2.9
