Player,POS,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Christian McCaffrey (SF),RB,16,287,17.94,1387,86.69,4.83,84,26.31,18,1.12,15,0.94,116,7.25,142,8.88,1005,62.81,8.66,4,0.25,403,25.19,429,26.81,0,0.0,0.0,1.0,355.2,22.2,21.8,9.41,20.47,1,0,1,4,10,15.0,14.0,30.59,413.2,25.82,25.15,9.51,24.01,1,0,1,3,11,15.0,14.0,33.35,471.2,29.45,28.95,9.95,27.41,1,0,0,2,13,15.0,15.0,36.48
Ezekiel Elliott (FA),RB,16,301,18.81,1357,84.81,4.51,33,16.75,7,0.44,12,0.75,54,3.38,71,4.44,420,26.25,7.78,2,0.12,355,22.19,372,23.25,2,0.12,0.01,1.0,257.7,16.11,14.5,5.89,16.7,0,2,3,5,6,7.0,11.0,21.05,284.7,17.79,16.65,5.89,18.65,0,1,6,4,5,15.0,9.0,26.19,311.7,19.48,18.2,6.09,20.5,0,1,6,4,5,15.0,9.0,27.55
Dalvin Cook (MIN),RB,14,250,17.86,1135,81.07,4.54,75,20.43,12,0.86,13,0.93,53,3.79,63,4.5,519,37.07,9.79,0,0.0,303,21.64,313,22.36,2,0.14,0.01,1.0,239.4,17.1,16.65,7.04,16.96,1,0,5,1,7,13.0,8.0,24.18,265.9,18.99,19.15,7.13,18.98,1,0,5,1,7,13.0,8.0,25.99,292.4,20.89,21.65,7.33,20.98,1,0,4,2,7,13.0,9.0,28.04
Derrick Henry (TEN),RB,15,303,20.2,1540,102.67,5.08,74,28.47,20,1.33,16,1.07,18,1.2,24,1.6,206,13.73,11.44,2,0.13,321,21.4,327,21.8,3,0.2,0.01,1.0,276.6,18.44,16.8,10.08,16.71,1,2,2,3,7,4.0,10.0,20.09,285.6,19.04,17.3,10.14,17.42,2,1,3,2,7,4.0,4.5,19.19,294.6,19.64,17.8,10.22,18.16,2,3,1,2,7,2.0,4.5,18.69
Saquon Barkley (NYG),RB,13,217,16.69,1003,77.15,4.62,68,25.54,18,1.38,6,0.46,52,4.0,73,5.62,438,33.69,8.42,2,0.15,269,20.69,290,22.31,0,0.0,0.0,1.0,192.1,14.78,13.9,10.27,13.33,2,2,2,3,4,2.25,3.5,15.12,218.1,16.78,15.5,10.39,15.26,2,2,2,3,4,2.25,3.5,16.53,244.1,18.78,17.0,10.57,17.21,1,3,2,3,4,2.25,7.0,18.79
Austin Ekeler (LAC),RB,16,132,8.25,557,34.81,4.22,35,12.31,5,0.31,3,0.19,92,5.75,108,6.75,993,62.06,10.79,8,0.5,224,14.0,240,15.0,2,0.12,0.01,1.0,217.0,13.56,10.05,8.45,12.85,1,7,3,1,4,1.0,5.0,12.41,263.0,16.44,14.05,8.51,15.72,1,3,6,1,5,3.0,6.0,16.41,309.0,19.31,17.3,8.85,18.51,1,2,4,3,6,4.33,9.0,20.24
Aaron Jones (GB),RB,16,236,14.75,1084,67.75,4.59,56,17.31,10,0.62,16,1.0,49,3.06,68,4.25,474,29.62,9.67,3,0.19,285,17.81,304,19.0,2,0.12,0.01,1.0,265.8,16.61,14.3,12.02,14.41,5,0,1,4,6,2.2,2.0,14.98,290.3,18.14,15.8,12.67,15.7,5,0,2,3,6,2.2,1.8,16.05,314.8,19.68,17.45,13.41,17.0,4,1,2,3,6,2.2,2.25,17.34
Chris Carson (FA),RB,15,278,18.53,1230,82.0,4.42,59,19.6,11,0.73,7,0.47,37,2.47,47,3.13,266,17.73,7.19,2,0.13,315,21.0,325,21.67,4,0.27,0.01,1.0,195.6,13.04,14.5,6.63,13.12,2,4,1,4,4,1.5,4.0,14.97,214.1,14.27,15.0,6.71,14.48,2,4,2,4,3,1.5,3.5,15.59,232.6,15.51,15.0,6.88,15.83,2,3,3,4,3,2.0,3.5,16.37
Leonard Fournette (FA),RB,15,265,17.67,1152,76.8,4.35,81,28.4,18,1.2,3,0.2,76,5.07,100,6.67,522,34.8,6.87,0,0.0,341,22.73,365,24.33,1,0.07,0.0,1.0,183.4,12.23,9.2,6.78,12.24,1,7,2,2,3,0.88,5.0,12.69,221.4,14.76,12.2,6.92,14.86,0,6,4,2,3,1.5,5.0,15.26,259.4,17.29,15.2,7.24,17.43,0,2,7,3,3,6.5,6.0,20.23
Mark Ingram II (FA),RB,15,202,13.47,1018,67.87,5.04,53,20.73,11,0.73,10,0.67,26,1.73,29,1.93,247,16.47,9.5,5,0.33,228,15.2,231,15.4,2,0.13,0.01,1.0,216.5,14.43,12.4,7.96,13.88,1,5,3,1,5,1.5,6.0,14.3,229.5,15.3,13.4,8.1,14.81,1,5,3,1,5,1.5,6.0,15.07,242.5,16.17,14.4,8.27,15.76,1,5,3,1,5,1.5,6.0,15.85
