Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE
Derrick Henry ,TEN,RB,1.0,13.95,317.1,23.3,1436.75,104.75,4.51,65.7,25.07,18.25,1.28,12.8,0.96,27.1,1.98,33.9,2.44,299.0,21.14,10.55,0.1,0.01,344.2,25.28,351.0,25.74,2.15,0.14,0.01,0.99,250.94,18.48,17.86,9.72,16.91,0.75,2.6,1.7,2.55,6.35,3.18,8.9,20.05,264.5,19.47,18.97,9.93,17.93,1.15,2.3,1.65,2.7,6.15,3.05,8.18,20.65,278.04,20.46,20.08,10.19,18.96,1.15,2.5,1.7,2.45,6.15,2.87,7.92,21.34,4
Christian McCaffrey ,SF,RB,1.0,13.05,191.4,15.01,885.75,67.82,4.54,39.6,18.65,9.3,0.55,6.3,0.53,67.75,5.25,84.05,6.35,595.5,46.51,8.86,3.55,0.25,259.15,20.26,275.45,21.37,0.0,0.0,0.0,0.94,210.56,16.37,16.01,6.88,16.6,1.15,0.6,3.3,3.7,4.3,6.18,7.5,18.71,244.44,18.99,18.65,7.76,18.78,1.15,0.6,3.3,2.55,5.45,6.18,7.5,20.52,278.31,21.61,21.09,8.78,20.9,0.55,1.2,2.05,2.5,6.75,6.18,8.75,22.56,4
Austin Ekeler ,LAC,RB,1.0,16.0,192.1,11.99,857.6,53.57,4.47,54.65,16.3,7.2,0.44,11.05,0.66,91.7,5.7,111.6,6.94,684.9,42.72,7.65,5.6,0.34,283.8,17.69,303.7,18.93,2.65,0.16,0.01,1.0,249.85,15.45,14.07,8.06,14.81,1.6,3.3,1.8,4.75,4.55,3.05,6.3,16.54,295.7,18.3,18.29,8.33,17.58,0.15,3.95,2.45,3.65,5.8,3.49,9.45,20.34,341.55,21.14,22.11,8.83,20.27,0.15,2.35,3.2,2.55,7.75,5.95,10.3,24.39,4
Josh Jacobs ,LV,RB,1.0,16.1,297.65,18.37,1373.8,84.4,4.55,63.95,19.28,9.9,0.6,11.0,0.68,49.6,3.07,60.25,3.73,359.1,22.14,7.28,0.0,0.0,347.25,21.44,357.9,22.09,1.35,0.09,0.0,1.0,236.59,14.56,14.26,8.96,13.66,2.85,2.75,2.9,3.8,3.8,1.91,2.65,15.0,261.39,16.1,15.96,9.25,15.21,2.45,3.0,3.3,3.55,3.8,2.02,3.32,16.52,286.19,17.63,17.19,9.62,16.76,2.2,3.5,2.8,3.65,3.95,1.83,3.57,17.59,4
Nick Chubb ,CLE,RB,1.0,15.7,272.1,17.24,1411.15,89.87,5.22,52.4,25.37,19.0,1.24,10.8,0.69,24.6,1.56,32.7,2.06,215.8,13.66,8.81,0.85,0.05,296.7,18.8,304.8,19.3,1.1,0.07,0.0,1.0,231.59,14.75,14.02,7.39,14.46,1.4,3.0,3.2,2.55,5.55,2.87,6.75,16.44,243.9,15.53,14.51,7.51,15.34,1.65,4.0,2.4,3.4,4.25,2.0,5.93,16.35,256.2,16.3,15.06,7.68,16.22,1.3,4.7,2.3,3.15,4.25,1.71,5.72,16.73,4
Dalvin Cook ,MIN,RB,1.0,15.55,264.35,17.23,1206.0,78.86,4.55,75.85,21.64,13.7,0.89,8.55,0.56,38.95,2.53,54.4,3.53,295.05,19.15,7.49,1.3,0.08,303.3,19.76,318.75,20.75,3.3,0.21,0.01,1.0,203.7,13.28,12.26,7.68,12.85,2.95,3.5,1.8,3.1,4.2,2.91,3.4,14.43,223.18,14.55,13.87,7.77,14.2,2.35,3.85,3.25,1.8,4.3,3.02,3.35,15.65,242.66,15.82,15.33,7.93,15.54,3.2,3.0,3.9,1.25,4.2,3.02,2.65,16.6,4
Jonathan Taylor ,IND,RB,1.0,13.63,233.05,16.87,1143.42,81.55,4.79,70.05,23.01,14.53,0.99,8.42,0.56,32.0,2.34,42.89,3.17,216.53,15.2,6.47,0.63,0.04,265.05,19.22,275.95,20.05,2.53,0.2,0.01,1.0,185.26,12.91,11.42,8.72,12.03,3.0,2.47,2.47,1.89,3.79,2.63,3.95,13.69,201.26,14.08,13.47,9.03,13.17,3.63,1.11,3.21,2.26,3.42,2.89,3.85,15.07,217.26,15.26,15.01,9.42,14.32,3.63,0.74,3.32,2.53,3.42,2.4,4.12,15.97,3
Breece Hall ,NYJ,RB,1.0,7.0,80.0,11.43,463.0,66.14,5.79,62.0,26.0,7.0,1.0,4.0,0.57,19.0,2.71,31.0,4.43,218.0,31.14,11.47,1.0,0.14,99.0,14.14,111.0,15.86,1.0,0.14,0.01,0.9,96.1,13.73,13.2,6.82,13.72,1.0,1.0,2.0,1.0,2.0,2.5,3.0,12.96,105.6,15.09,13.2,6.24,15.59,0.0,1.0,4.0,1.0,1.0,6.0,2.0,14.99,115.1,16.44,15.2,5.84,17.48,0.0,1.0,4.0,1.0,1.0,6.0,2.0,16.4,1
Alvin Kamara ,NO,RB,1.0,14.45,221.05,15.39,895.75,62.21,4.08,30.6,15.47,4.5,0.31,4.05,0.28,58.3,4.03,78.5,5.43,506.0,34.99,8.74,3.0,0.21,279.35,19.42,299.55,20.82,2.45,0.17,0.01,1.0,177.6,12.36,11.39,8.08,11.83,3.9,2.1,3.1,3.4,1.95,2.81,2.41,13.38,206.75,14.37,13.36,8.78,13.62,3.95,1.45,2.95,3.4,2.7,2.26,2.56,14.64,235.9,16.38,14.8,9.6,15.38,3.95,1.35,2.6,3.6,2.95,2.35,2.64,15.99,4
Ezekiel Elliott ,FA,RB,1.0,15.55,237.3,15.29,941.85,60.54,3.96,32.7,14.53,5.0,0.32,10.9,0.7,29.85,1.88,40.7,2.57,181.75,11.46,5.81,0.8,0.05,267.15,17.18,278.0,17.86,0.85,0.05,0.0,1.0,182.61,11.72,12.49,5.56,12.35,2.95,2.5,3.35,5.5,1.25,2.06,2.57,13.39,197.54,12.66,14.07,5.66,13.4,2.85,3.15,3.15,5.2,1.2,2.16,2.43,14.46,212.46,13.61,15.17,5.86,14.44,3.45,2.2,4.35,4.5,1.05,2.31,1.95,15.27,4
