Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Travis Kelce ,KC,TE,1.0,15,105,7.0,145,9.67,1416,94.4,13.49,45,26.07,29,1.93,11,0.73,0,0.0,0,0.0,0.0,0,0.0,105,7.0,145,9.67,1,0.07,0.01,1.0,207.8,13.85,15.8,5.04,13.22,1,3,1,7,3,2.75,10.0,17.9,260.3,17.35,19.3,5.79,16.54,1,1,3,4,6,6.5,10.0,22.85,312.8,20.85,22.8,6.62,19.87,1,1,2,2,9,6.5,11.0,26.17
Darren Waller ,NYG,TE,1.0,16,107,6.69,145,9.06,1196,74.75,11.18,38,20.75,19,1.19,9,0.56,0,0.0,0,0.0,0.0,0,0.0,107,6.69,145,9.06,2,0.12,0.02,1.0,171.6,10.72,9.5,8.2,9.06,5,3,3,3,2,1.0,1.0,10.01,225.1,14.07,12.3,9.51,11.85,4,2,5,1,4,1.67,1.25,12.92,278.6,17.41,15.8,10.87,14.65,4,1,5,2,4,2.2,1.5,16.09
George Kittle ,SF,TE,1.0,8,48,6.0,63,7.88,634,79.25,13.21,44,27.0,13,1.62,2,0.25,2,0.25,17,2.12,8.5,0,0.0,50,6.25,65,8.12,0,0.0,0.0,0.95,77.1,9.64,6.15,7.52,8.32,4,2,0,1,1,0.33,0.5,7.27,101.1,12.64,9.15,9.37,10.68,2,3,1,0,2,0.6,1.0,9.82,125.1,15.64,11.85,11.27,13.04,1,3,2,0,2,1.0,2.0,12.42
Mark Andrews ,BAL,TE,1.0,14,58,4.14,88,6.29,701,50.07,12.09,39,20.57,13,0.93,7,0.5,0,0.0,0,0.0,0.0,0,0.0,58,4.14,88,6.29,0,0.0,0.0,1.0,112.1,8.01,6.85,5.98,7.32,6,3,2,3,0,0.56,0.5,7.41,141.1,10.08,9.95,6.39,9.38,6,3,1,3,1,0.56,0.67,9.77,170.1,12.15,12.95,6.88,11.46,6,0,3,4,1,1.33,0.83,12.49
T.J. Hockenson ,MIN,TE,1.0,16,67,4.19,101,6.31,723,45.19,10.79,51,19.56,10,0.62,6,0.38,1,0.06,0,0.0,0.0,0,0.0,68,4.25,102,6.38,1,0.06,0.01,1.0,108.3,6.77,7.25,3.69,6.99,5,7,4,0,0,0.33,0.0,7.21,141.8,8.86,9.35,4.19,9.16,4,6,6,0,0,0.6,0.0,9.27,175.3,10.96,10.85,4.8,11.31,4,5,6,1,0,0.78,0.25,11.06
Logan Thomas ,WAS,TE,1.0,16,72,4.5,110,6.88,670,41.88,9.31,30,16.38,6,0.38,6,0.38,3,0.19,5,0.31,1.67,0,0.0,75,4.69,113,7.06,0,0.0,0.0,1.0,104.6,6.54,6.45,4.62,6.38,7,3,5,1,0,0.6,0.14,6.81,140.6,8.79,9.2,5.61,8.45,6,3,5,1,1,0.78,0.33,9.12,176.6,11.04,11.65,6.8,10.44,6,2,6,0,2,1.0,0.33,11.23
Robert Tonyan ,CHI,TE,1.0,16,52,3.25,59,3.69,586,36.62,11.27,45,19.62,13,0.81,11,0.69,0,0.0,0,0.0,0.0,0,0.0,52,3.25,59,3.69,0,0.0,0.0,1.0,124.6,7.79,7.85,6.68,6.93,6,4,5,0,1,0.6,0.17,7.36,150.6,9.41,9.4,7.41,8.44,6,4,4,1,1,0.6,0.33,8.78,176.6,11.04,10.65,8.17,9.97,6,3,5,1,1,0.78,0.33,10.12
Hunter Henry ,NE,TE,1.0,14,60,4.29,93,6.64,613,43.79,10.22,33,16.86,6,0.43,4,0.29,0,0.0,0,0.0,0.0,0,0.0,60,4.29,93,6.64,0,0.0,0.0,1.0,85.3,6.09,5.85,3.45,6.39,7,5,2,0,0,0.17,0.0,6.26,115.3,8.24,8.65,3.89,8.67,5,5,4,0,0,0.4,0.0,8.66,145.3,10.38,11.2,4.43,10.93,5,2,6,1,0,1.0,0.2,11.17
Jared Cook ,FA,TE,6.0,15,37,2.47,60,4.0,504,33.6,13.62,46,18.93,12,0.8,7,0.47,0,0.0,0,0.0,0.0,0,0.0,37,2.47,60,4.0,1,0.07,0.03,1.0,90.4,6.03,8.0,4.35,5.97,6,5,4,0,0,0.36,0.0,6.87,108.9,7.26,9.7,4.96,7.2,6,5,4,0,0,0.36,0.0,8.19,127.4,8.49,11.2,5.6,8.44,6,3,6,0,0,0.67,0.0,9.57
Eric Ebron ,FA,TE,1.0,15,56,3.73,91,6.07,558,37.2,9.96,27,16.67,6,0.4,5,0.33,0,0.0,0,0.0,0.0,0,0.0,56,3.73,91,6.07,1,0.07,0.02,1.0,85.8,5.72,5.0,3.71,5.89,9,2,4,0,0,0.36,0.0,5.69,113.8,7.59,8.0,4.35,7.77,7,4,4,0,0,0.36,0.0,7.88,141.8,9.45,11.0,5.13,9.6,7,2,6,0,0,0.67,0.0,10.21
