Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE
Travis Kelce ,KC,TE,1.0,16.52,104.56,6.33,146.25,8.86,1288.93,78.11,12.33,55.3,25.96,26.47,1.6,10.89,0.66,1.76,0.11,3.98,0.24,2.07,0.29,0.02,106.33,6.44,148.01,8.96,1.0,0.06,0.01,1.0,195.77,11.86,11.31,7.03,10.45,1.02,2.68,2.96,5.69,4.17,4.24,8.56,14.95,248.05,15.02,15.17,7.48,13.48,0.29,2.72,2.4,6.1,5.0,5.27,11.1,19.2,300.33,18.18,18.21,8.02,16.57,0.25,1.49,3.5,4.19,7.09,12.56,11.28,25.65,4
Mark Andrews ,BAL,TE,1.0,15.39,79.54,5.12,119.8,7.73,959.41,61.66,11.99,38.61,21.17,13.84,0.88,6.38,0.41,2.09,0.14,4.93,0.33,1.64,0.0,0.0,81.64,5.26,121.89,7.87,0.04,0.0,0.0,1.0,136.85,8.8,6.55,6.75,7.79,2.7,5.0,2.49,1.92,3.29,1.16,2.98,8.57,176.62,11.36,9.24,7.86,10.02,2.61,4.13,2.59,2.16,3.9,1.53,3.46,11.08,216.39,13.92,12.02,9.03,12.26,2.16,2.81,3.82,2.08,4.52,2.98,4.09,14.23,4
George Kittle ,SF,TE,1.0,14.02,62.51,4.54,86.53,6.26,799.16,58.19,12.8,51.81,23.69,18.77,1.35,8.65,0.59,1.13,0.09,7.47,0.62,2.65,0.0,0.0,63.65,4.64,87.67,6.35,0.86,0.06,0.01,1.0,130.81,9.34,8.21,7.91,7.98,5.33,1.04,3.15,1.31,3.19,1.2,1.12,8.76,162.07,11.61,10.39,8.7,10.01,2.87,3.33,2.14,2.17,3.52,1.34,2.11,10.97,193.32,13.88,12.53,9.58,12.09,2.63,3.48,2.1,2.27,3.56,1.47,2.37,12.98,4
Zach Ertz ,ARI,TE,1.0,12.02,54.18,4.52,82.49,6.87,507.03,41.46,9.19,36.6,16.47,5.27,0.41,4.03,0.34,0.25,0.01,0.99,0.06,0.99,0.0,0.0,54.43,4.53,82.73,6.89,0.04,0.0,0.0,1.0,77.64,6.48,6.18,3.66,6.75,2.11,4.12,4.23,1.19,0.36,1.14,0.87,7.29,104.73,8.74,9.18,4.29,9.04,1.73,3.32,4.72,1.88,0.36,1.77,1.62,10.18,131.82,11.0,11.58,5.11,11.23,1.69,2.25,4.26,3.46,0.36,2.93,3.1,13.2,4
Dallas Goedert ,PHI,TE,1.0,12.76,54.48,4.3,71.04,5.6,712.25,55.94,13.04,35.32,21.24,13.22,1.03,3.33,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.48,4.3,71.04,5.6,0.69,0.05,0.01,1.0,90.28,7.07,6.26,4.19,7.13,2.2,4.22,4.61,0.73,1.0,0.99,0.93,7.31,117.52,9.23,8.46,4.97,9.21,2.16,2.99,5.01,1.25,1.34,1.61,1.6,9.72,144.76,11.38,10.76,5.83,11.26,2.16,1.72,6.29,1.25,1.34,3.47,1.6,12.6,4
Darren Waller ,NYG,TE,1.0,10.46,44.88,4.03,68.28,6.21,565.67,51.62,13.12,35.76,21.76,13.25,1.26,3.34,0.31,0.08,0.0,0.2,0.01,0.1,0.0,0.0,44.96,4.03,68.36,6.21,0.24,0.01,0.0,1.0,76.38,7.02,6.22,4.98,6.71,2.64,2.73,1.56,2.85,0.68,0.95,1.41,7.27,98.82,9.04,8.44,5.73,8.61,2.19,1.95,2.5,3.0,0.82,1.5,2.59,9.69,121.26,11.05,10.76,6.54,10.52,0.96,3.08,2.36,3.2,0.86,1.58,4.05,12.0,4
T.J. Hockenson ,MIN,TE,1.0,15.47,75.84,4.89,112.4,7.21,792.1,50.73,10.42,64.57,19.86,10.87,0.71,5.35,0.34,0.1,0.01,0.0,0.0,0.0,0.0,0.0,75.94,4.89,112.5,7.22,0.71,0.04,0.01,1.0,113.03,7.24,5.6,6.77,6.46,3.26,5.98,4.03,0.69,1.52,0.76,0.71,6.71,150.95,9.69,8.37,7.79,8.62,2.36,4.43,5.41,1.75,1.52,1.41,1.46,9.44,188.87,12.13,10.87,8.93,10.77,2.36,4.33,4.45,2.56,1.76,1.49,1.95,11.69,4
Pat Freiermuth ,PIT,TE,1.0,15.29,62.14,4.07,92.57,6.08,664.86,43.73,10.67,47.57,18.34,9.86,0.66,3.43,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.14,4.07,92.57,6.08,0.29,0.02,0.01,1.0,87.06,5.69,6.13,3.22,6.11,2.86,5.0,7.14,0.0,0.29,0.99,0.06,6.63,118.13,7.73,8.56,3.95,8.12,2.57,4.71,7.43,0.29,0.29,1.1,0.14,8.7,149.2,9.77,10.26,4.8,10.09,2.29,4.29,5.71,2.71,0.29,1.36,1.36,10.78,2
Dawson Knox ,BUF,TE,1.0,14.7,45.09,3.05,63.82,4.32,506.6,34.25,11.31,46.24,17.4,10.43,0.7,6.29,0.42,0.04,0.0,1.34,0.09,inf,0.0,0.0,45.13,3.05,63.86,4.33,0.2,0.02,0.01,1.0,88.61,5.98,5.54,4.48,5.85,4.96,3.19,4.67,0.53,1.35,0.85,0.54,6.12,111.15,7.5,7.21,5.0,7.39,3.77,4.38,4.05,1.39,1.11,0.85,0.83,7.63,133.7,9.03,8.42,5.6,8.93,3.71,3.78,3.85,2.01,1.35,1.01,1.11,9.03,4
Greg Dulcich ,DEN,TE,1.0,10.0,33.0,3.3,55.0,5.5,411.0,41.1,12.45,39.0,20.3,9.0,0.9,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,3.3,55.0,5.5,0.0,0.0,0.0,1.0,53.1,5.31,4.65,3.78,5.45,3.0,3.0,4.0,0.0,0.0,0.67,0.0,5.43,69.6,6.96,6.9,4.3,7.15,3.0,2.0,5.0,0.0,0.0,1.0,0.0,7.37,86.1,8.61,9.15,4.94,8.82,3.0,2.0,3.0,2.0,0.0,1.0,0.67,9.31,1
