Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Davante Adams ,LV,WR,1.0,14,115,8.21,149,10.64,1374,98.14,11.95,56,29.07,34,2.43,18,1.29,0,0.0,0,0.0,0.0,0,0.0,115,8.21,149,10.64,1,0.07,0.01,1.0,243.4,17.39,17.05,9.82,15.62,2,1,3,2,6,3.67,4.0,18.6,300.9,21.49,20.55,11.12,19.27,1,2,2,1,8,3.67,9.0,23.06,358.4,25.6,24.05,12.47,22.95,1,1,2,2,8,6.0,10.0,27.72
Tyreek Hill ,MIA,WR,1.0,15,87,5.8,135,9.0,1276,85.07,14.67,75,31.13,38,2.53,15,1.0,13,0.87,123,8.2,9.46,2,0.13,100,6.67,148,9.87,0,0.0,0.0,1.0,241.9,16.13,15.3,9.98,14.43,1,2,4,4,4,4.0,8.0,18.36,285.4,19.03,16.8,10.99,17.11,1,1,5,3,5,6.5,8.0,21.49,328.9,21.93,18.3,12.11,19.81,1,1,3,5,5,6.5,10.0,23.88
Stefon Diggs ,BUF,WR,1.0,16,127,7.94,166,10.38,1535,95.94,12.09,55,27.94,32,2.0,8,0.5,1,0.06,1,0.06,1.0,0,0.0,128,8.0,167,10.44,0,0.0,0.0,1.0,201.6,12.6,10.75,7.02,12.31,2,4,5,2,3,1.67,2.5,12.88,265.1,16.57,14.35,7.47,16.41,0,2,7,2,5,7.0,7.0,20.13,328.6,20.54,18.35,8.02,20.57,0,2,5,4,5,7.0,9.0,24.31
Calvin Ridley ,JAC,WR,1.0,15,90,6.0,143,9.53,1374,91.6,15.27,63,29.13,36,2.4,9,0.6,5,0.33,1,0.07,0.2,0,0.0,95,6.33,148,9.87,1,0.07,0.01,1.0,191.5,12.77,12.3,7.27,12.36,3,1,5,2,4,2.75,2.0,13.96,236.5,15.77,14.8,8.22,15.24,3,0,5,3,4,4.0,2.33,17.09,281.5,18.77,17.3,9.25,18.13,2,1,2,6,4,4.0,5.0,20.18
DeAndre Hopkins ,ARI,WR,1.0,16,115,7.19,160,10.0,1407,87.94,12.23,60,28.81,35,2.19,6,0.38,1,0.06,1,0.06,1.0,0,0.0,116,7.25,161,10.06,2,0.12,0.02,1.0,172.8,10.8,12.0,6.08,10.94,6,1,2,4,3,1.29,1.17,12.26,230.3,14.39,16.0,7.04,14.46,2,5,0,5,4,1.29,4.5,16.48,287.8,17.99,20.0,8.18,17.92,2,4,1,2,7,1.67,4.5,20.03
A.J. Brown ,PHI,WR,1.0,14,70,5.0,106,7.57,1075,76.79,15.36,73,31.29,28,2.0,11,0.79,0,0.0,0,0.0,0.0,0,0.0,70,5.0,106,7.57,1,0.07,0.01,1.0,177.5,12.68,13.2,6.84,12.47,3,2,2,4,3,1.8,2.33,13.79,212.5,15.18,15.95,7.51,15.01,3,2,2,2,5,1.8,2.33,16.17,247.5,17.68,18.15,8.26,17.57,1,3,3,2,5,2.5,7.0,19.83
William Fuller V ,FA,WR,6.0,11,53,4.82,75,6.82,879,79.91,16.58,77,30.73,28,2.55,8,0.73,1,0.09,0,0.0,0.0,0,0.0,54,4.91,76,6.91,0,0.0,0.0,1.0,135.9,12.35,11.4,7.77,11.76,2,1,4,2,2,2.67,2.0,12.95,162.4,14.76,13.8,8.39,14.2,2,0,4,3,2,4.5,2.5,16.17,188.9,17.17,15.8,9.08,16.67,1,1,4,2,3,4.5,5.0,18.8
Brandon Aiyuk ,SF,WR,1.0,12,60,5.0,96,8.0,748,62.33,12.47,49,23.0,14,1.17,5,0.42,6,0.5,77,6.42,12.83,2,0.17,66,5.5,102,8.5,0,0.0,0.0,1.0,124.5,10.38,11.75,4.93,11.07,3,1,5,3,0,2.0,1.0,12.37,154.5,12.88,15.35,6.06,13.43,3,1,2,6,0,2.0,2.0,15.3,184.5,15.38,18.6,7.33,15.74,3,1,1,5,2,2.0,2.33,17.89
Keenan Allen ,LAC,WR,1.0,14,100,7.14,147,10.5,992,70.86,9.92,28,19.64,10,0.71,8,0.57,1,0.07,-1,-0.07,-1.0,0,0.0,101,7.21,148,10.57,2,0.14,0.02,1.0,145.1,10.36,10.55,5.07,10.98,3,2,6,2,1,1.8,1.0,11.9,195.1,13.94,13.55,6.88,14.08,2,3,3,3,3,1.8,3.0,15.14,245.1,17.51,16.3,8.85,17.11,2,2,4,2,4,2.5,3.0,18.09
DK Metcalf ,SEA,WR,2.0,16,83,5.19,129,8.06,1303,81.44,15.7,62,32.12,37,2.31,10,0.62,0,0.0,0,0.0,0.0,0,0.0,83,5.19,129,8.06,1,0.06,0.01,1.0,188.3,11.77,11.35,7.42,11.34,5,1,3,5,2,1.67,1.4,12.2,229.8,14.36,13.85,8.48,13.78,4,2,2,4,4,1.67,2.0,14.57,271.3,16.96,16.35,9.62,16.22,3,2,3,4,4,2.2,2.67,17.23
