Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE
Cooper Kupp ,LAR,WR,1.0,11.84,94.67,8.07,124.89,10.62,1121.27,93.02,11.51,68.73,31.16,28.39,2.27,8.33,0.69,7.0,0.71,39.86,4.05,5.56,0.62,0.07,101.67,8.77,131.89,11.32,0.71,0.07,0.01,0.96,168.82,14.11,14.54,6.4,14.08,1.44,1.02,3.19,1.67,4.51,6.86,5.85,18.03,216.16,18.15,18.53,7.36,18.03,1.17,0.82,2.04,2.53,5.28,9.0,7.31,22.86,263.49,22.18,23.87,8.51,21.91,0.89,0.9,1.37,1.78,6.9,9.05,8.34,27.06,4
Justin Jefferson ,MIN,WR,1.0,16.9,118.77,7.02,173.59,10.25,1717.56,101.56,14.53,62.67,30.66,46.95,2.78,8.41,0.5,4.21,0.25,19.18,1.13,4.65,0.64,0.04,122.97,7.27,177.79,10.51,0.26,0.02,0.0,1.0,230.35,13.62,16.0,8.3,12.78,4.23,0.97,3.26,1.74,6.69,2.29,2.3,15.72,289.74,17.13,19.47,9.56,15.97,3.23,1.62,2.1,3.0,6.95,2.54,4.6,19.43,349.12,20.64,22.97,10.88,19.18,3.23,1.1,1.87,3.13,7.56,3.63,4.79,23.03,3
Stefon Diggs ,BUF,WR,1.0,16.82,108.1,6.42,156.51,9.3,1393.42,82.87,12.97,55.68,30.44,32.39,1.93,10.26,0.61,0.91,0.06,0.66,0.06,-1.27,0.0,0.0,109.01,6.48,157.42,9.36,0.12,0.01,0.0,1.0,200.74,11.93,11.75,6.94,11.74,3.39,3.63,3.03,4.3,2.47,1.42,2.11,12.74,254.79,15.14,15.79,7.94,14.86,2.04,2.53,4.38,4.59,3.28,3.0,4.05,17.23,308.84,18.35,19.56,9.02,17.96,2.04,2.25,4.22,2.07,6.24,3.36,4.49,20.63,4
Davante Adams ,LV,WR,1.0,16.26,106.47,6.6,172.15,10.59,1490.67,91.76,14.1,59.28,29.96,42.27,2.58,13.3,0.82,1.85,0.11,-0.62,-0.04,-0.2,0.0,0.0,108.32,6.71,174.0,10.69,0.14,0.01,0.0,1.0,228.61,14.07,10.74,9.24,12.86,2.94,3.92,2.42,0.52,6.46,1.54,2.44,13.07,281.85,17.37,14.71,10.23,15.94,2.02,3.11,3.68,0.79,6.66,2.31,4.43,17.12,335.08,20.68,18.58,11.31,19.04,1.99,2.19,3.03,2.29,6.77,3.21,5.36,20.94,4
Tyreek Hill ,MIA,WR,1.0,16.61,111.47,6.68,160.65,9.64,1517.73,91.1,13.63,67.52,30.86,38.39,2.31,8.28,0.5,8.12,0.5,56.37,3.43,6.49,0.81,0.05,119.6,7.18,168.77,10.13,0.25,0.01,0.0,1.0,211.48,12.75,10.89,8.23,12.03,3.17,2.94,3.76,2.73,4.0,2.07,3.21,13.16,267.22,16.09,13.08,9.51,15.07,2.64,2.47,3.9,2.02,5.58,2.9,3.67,16.05,322.95,19.43,16.55,10.88,18.1,2.64,0.92,4.64,2.59,5.82,5.61,4.18,20.46,4
Ja'Marr Chase ,CIN,WR,1.0,14.14,85.29,6.14,132.29,9.52,1162.86,81.93,13.72,66.29,27.85,29.71,2.03,10.14,0.71,5.57,0.39,11.71,0.8,2.0,0.0,0.0,90.86,6.54,137.86,9.9,1.71,0.12,0.02,1.0,174.89,12.29,9.81,8.8,11.37,4.29,1.71,2.86,1.0,4.29,1.36,1.24,11.51,217.53,15.37,12.77,9.73,14.28,1.86,4.14,1.86,2.0,4.29,1.36,4.79,15.04,260.17,18.44,15.84,10.75,17.21,1.57,1.29,4.29,2.0,5.0,4.61,5.67,19.59,2
Keenan Allen ,LAC,WR,1.0,12.11,80.7,6.65,113.83,9.3,888.33,73.76,11.09,43.2,25.77,15.11,1.28,4.97,0.41,0.83,0.08,5.46,0.53,5.04,0.0,0.0,81.53,6.73,114.66,9.37,0.81,0.08,0.01,0.98,118.24,9.78,9.37,5.18,10.35,2.09,3.93,3.7,1.59,0.79,1.03,1.54,10.48,158.59,13.11,13.08,5.98,13.8,1.18,3.29,3.16,3.49,0.99,1.69,4.06,14.58,198.94,16.44,16.3,7.01,17.15,1.18,2.29,3.34,3.68,1.62,2.49,4.82,18.06,4
Deebo Samuel ,SF,WR,1.0,13.23,58.95,4.45,95.21,7.15,805.35,59.18,13.17,60.65,25.86,21.76,1.54,2.93,0.21,41.73,3.05,241.59,17.39,5.69,3.94,0.27,100.68,7.5,136.95,10.19,1.76,0.12,0.02,0.98,143.65,10.38,10.41,5.01,10.93,3.24,2.91,3.06,2.5,1.52,2.2,3.03,12.37,173.12,12.6,12.08,5.66,13.32,3.0,2.54,3.5,1.82,2.38,2.35,3.08,14.24,202.6,14.83,14.39,6.43,15.66,2.34,1.76,5.07,1.2,2.85,2.9,2.97,16.54,4
CeeDee Lamb ,DAL,WR,1.0,16.64,96.44,5.77,142.15,8.52,1249.62,74.9,13.01,42.9,25.95,30.15,1.81,7.82,0.47,9.74,0.59,58.03,3.51,6.02,0.1,0.01,106.18,6.36,151.9,9.1,0.1,0.01,0.0,1.0,178.92,10.72,9.65,6.85,10.55,4.72,3.26,3.49,3.18,2.0,1.15,1.18,10.87,227.14,13.61,12.9,7.69,13.39,2.87,3.95,3.0,4.82,2.0,1.51,2.96,14.23,275.35,16.5,15.91,8.61,16.24,1.87,4.21,2.49,5.18,2.9,1.9,6.47,17.94,3
DeAndre Hopkins ,ARI,WR,1.0,10.17,65.18,6.39,96.55,9.53,766.92,74.87,11.9,41.47,23.31,13.75,1.28,4.68,0.46,0.18,0.01,0.81,0.05,0.45,0.0,0.0,65.36,6.41,96.73,9.54,0.81,0.08,0.01,0.95,103.46,10.09,10.04,5.96,10.27,2.43,2.23,2.69,1.54,1.28,1.19,1.15,10.39,136.05,13.29,13.37,6.91,13.42,1.18,2.75,2.54,2.3,1.41,1.71,3.11,13.86,168.64,16.49,17.04,8.04,16.5,1.1,1.46,2.39,3.52,1.71,5.49,4.78,18.87,4
