Player,Season,Week,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,FPTS
Harrison Butker (KC),2019,1,4,4,100.0,46,0,2,1,1,0,4,4,17.0
Stephen Gostkowski (FA),2019,1,4,4,100.0,41,0,1,2,1,0,3,3,16.0
Wil Lutz (NO),2019,1,3,4,75.0,58,0,0,1,1,1,3,3,15.0
Greg Zuerlein (NYJ),2019,1,3,4,75.0,56,0,1,0,1,1,3,3,15.0
Zane Gonzalez (SF),2019,1,4,4,100.0,42,0,2,1,1,0,1,1,14.0
Cairo Santos (CHI),2019,1,2,2,100.0,53,0,0,1,0,1,5,5,13.0
Joey Slye (WAS),2019,1,2,3,66.7,52,0,0,0,1,1,3,3,12.0
Robbie Gould (FA),2019,1,3,4,75.0,47,0,1,1,1,0,2,2,12.0
Justin Tucker (BAL),2019,1,1,1,100.0,34,0,0,1,0,0,8,8,11.0
Dustin Hopkins (LAC),2019,1,2,2,100.0,48,0,0,0,2,0,3,3,11.0
Matt Prater (ARI),2019,1,2,2,100.0,55,0,0,1,0,1,3,3,11.0
Brandon McManus (DEN),2019,1,3,4,75.0,39,0,2,1,0,0,1,1,10.0
Randy Bullock (FA),2019,1,2,3,66.7,39,0,1,1,0,0,2,2,8.0
Josh Lambo (FA),2019,1,2,2,100.0,37,0,1,1,0,0,2,2,8.0
Ty Long (FA),2019,1,1,1,100.0,40,0,0,0,1,0,3,3,7.0
Jason Sanders (MIA),2019,1,1,1,100.0,54,0,0,0,0,1,1,1,6.0
Daniel Carlson (LV),2019,1,1,1,100.0,29,0,1,0,0,0,3,3,6.0
Stephen Hauschka (FA),2019,1,1,1,100.0,43,0,0,0,1,0,2,2,6.0
Jake Elliott (PHI),2019,1,1,1,100.0,22,0,1,0,0,0,3,3,6.0
Brett Maher (FA),2019,1,0,0,0.0,0,0,0,0,0,0,5,5,5.0
Matt Gay (IND),2019,1,1,1,100.0,31,0,0,1,0,0,2,2,5.0
Adam Vinatieri (FA),2019,1,1,3,33.3,44,0,0,0,1,0,1,2,5.0
Aldrick Rosas (FA),2019,1,1,1,100.0,28,0,1,0,0,0,2,2,5.0
Dan Bailey (FA),2019,1,0,0,0.0,0,0,0,0,0,0,4,4,4.0
Ka'imi Fairbairn (HOU),2019,1,0,0,0.0,0,0,0,0,0,0,4,4,4.0
Mason Crosby (FA),2019,1,1,1,100.0,39,0,0,1,0,0,1,1,4.0
Eddy Pineiro (CAR),2019,1,1,1,100.0,38,0,0,1,0,0,0,0,3.0
