,,,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,STANDARD
Player,Season,Week,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,FPTS
Rob Gronkowski (FA),2021,1,8,8,90,11.3,20,2,2,0,0,0,0,21.0
Travis Kelce (KC),2021,1,6,7,76,12.7,19,0,2,0,0,0,0,19.6
T.J. Hockenson (MIN),2021,1,8,11,97,12.1,23,2,1,0,0,0,0,17.7
Darren Waller (NYG),2021,1,10,19,105,10.5,24,1,1,0,0,0,0,16.5
Juwan Johnson (NO),2021,1,3,3,21,7.0,12,0,2,0,0,0,0,14.1
Dallas Goedert (PHI),2021,1,4,5,42,10.5,13,0,1,0,0,0,0,10.2
Logan Thomas (WAS),2021,1,3,3,30,10.0,12,0,1,0,0,0,0,9.0
Chris Manhertz (DEN),2021,1,1,1,22,22.0,22,1,1,0,0,0,0,8.2
Gerald Everett (LAC),2021,1,2,2,20,10.0,11,0,1,0,0,0,0,8.0
George Kittle (SF),2021,1,4,5,78,19.5,35,3,0,0,0,0,0,7.8
David Njoku (CLE),2021,1,3,5,76,25.3,43,5,0,0,0,0,0,7.6
Tyler Higbee (LAR),2021,1,5,6,68,13.6,37,2,0,0,0,0,0,6.8
Pharaoh Brown (FA),2021,1,4,5,67,16.8,29,2,0,0,0,0,0,6.7
Noah Fant (SEA),2021,1,6,8,62,10.3,25,1,0,0,0,0,0,6.2
Jared Cook (FA),2021,1,5,8,56,11.2,23,1,0,0,0,0,0,5.6
Albert Okwuegbunam (DEN),2021,1,3,3,16,5.3,6,0,1,0,0,0,1,5.6
James O'Shaughnessy (FA),2021,1,6,8,48,8.0,22,1,0,0,0,0,0,4.8
Jonnu Smith (ATL),2021,1,5,5,42,8.4,11,0,0,1,6,0,0,4.8
Dalton Schultz (HOU),2021,1,6,6,45,7.5,16,0,0,0,0,0,0,4.5
Cole Kmet (CHI),2021,1,5,7,42,8.4,10,0,0,0,0,0,0,4.2
Dawson Knox (BUF),2021,1,4,4,41,10.3,13,0,0,0,0,0,0,4.1
Tyler Conklin (NYJ),2021,1,4,4,41,10.3,27,1,0,0,0,0,0,4.1
Will Dissly (SEA),2021,1,3,3,37,12.3,22,1,0,0,0,0,0,3.7
C.J. Uzomah (NYJ),2021,1,2,2,35,17.5,32,2,0,0,0,0,0,3.5
Zach Ertz (ARI),2021,1,2,2,34,17.0,28,1,0,0,0,0,0,3.4
Hunter Henry (NE),2021,1,3,3,31,10.3,16,0,0,0,0,0,0,3.1
Kyle Pitts (ATL),2021,1,4,8,31,7.8,18,0,0,0,0,0,0,3.1
Hayden Hurst (CAR),2021,1,4,4,28,7.0,9,0,0,0,0,0,0,2.8
Austin Hooper (LV),2021,1,3,3,27,9.0,14,0,0,0,0,0,0,2.7
Tyler Kroft (FA),2021,1,3,5,26,8.7,10,0,0,0,0,0,0,2.6
Pat Freiermuth (PIT),2021,1,1,1,24,24.0,24,1,0,0,0,0,0,2.4
Ryan Griffin (FA),2021,1,3,6,22,7.3,8,0,0,0,0,0,0,2.2
Jack Doyle (FA),2021,1,3,4,21,7.0,9,0,0,0,0,0,0,2.1
Mark Andrews (BAL),2021,1,3,5,20,6.7,10,0,0,0,0,0,0,2.0
Blake Jarwin (FA),2021,1,3,3,20,6.7,7,0,0,0,0,0,0,2.0
Marcedes Lewis (FA),2021,1,1,1,19,19.0,19,0,0,0,0,0,0,1.9
Anthony Firkser (FA),2021,1,3,4,19,6.3,11,0,0,0,0,0,0,1.9
Eric Ebron (FA),2021,1,1,2,19,19.0,19,0,0,0,0,0,0,1.9
Adam Trautman (NO),2021,1,3,6,18,6.0,8,0,0,0,0,0,0,1.8
Ian Thomas (CAR),2021,1,1,2,17,17.0,17,0,0,0,0,0,0,1.7
Harrison Bryant (CLE),2021,1,1,2,17,17.0,17,0,0,0,0,0,0,1.7
Jimmy Graham (FA),2021,1,1,2,11,11.0,11,0,0,0,0,0,0,1.1
Durham Smythe (MIA),2021,1,1,2,9,9.0,9,0,0,0,0,0,0,0.9
Robert Tonyan (CHI),2021,1,2,4,8,4.0,5,0,0,0,0,0,0,0.8
Kyle Rudolph (FA),2021,1,2,5,8,4.0,6,0,0,0,0,0,0,0.8
Eric Saubert (MIA),2021,1,1,2,7,7.0,7,0,0,0,0,0,0,0.7
Dan Arnold (FA),2021,1,2,3,6,3.0,5,0,0,0,0,0,0,0.6
Blake Bell (KC),2021,1,1,1,3,3.0,3,0,0,1,2,0,0,0.5
Darren Fells (FA),2021,1,1,1,2,2.0,2,0,0,0,0,0,0,0.2
Stephen Anderson (FA),2021,1,1,2,1,1.0,1,0,0,0,0,0,0,0.1
Feleipe Franks (ATL),2021,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
J.J. Arcega-Whiteside (FA),2021,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Kaden Smith (FA),2021,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Josh Oliver (MIN),2021,1,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Chris Herndon IV (FA),2021,1,0,2,0,0.0,0,0,0,0,0,0,0,0.0
Jared Pinkney (FA),2021,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Donald Parham Jr. (LAC),2021,1,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Dominique Dafney (TB),2021,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Tommy Tremble (CAR),2021,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Demetrius Harris (FA),2021,1,0,3,0,0.0,0,0,0,0,0,0,0,0.0
Jordan Akins (CLE),2021,1,0,2,0,0.0,0,0,0,0,0,0,0,0.0
Andrew DePaola (MIN),2021,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Taysom Hill (NO),2021,1,0,0,0,0.0,0,0,0,2,1,0,0,0.0
