,,,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,STANDARD
Player,Season,Week,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,FPTS
Justin Jefferson (MIN),2022,1,9,11,184,20.4,64,9,2,0,0,0,0,30.4
Davante Adams (LV),2022,1,10,17,141,14.1,41,5,1,0,0,0,0,20.1
Ja'Marr Chase (CIN),2022,1,10,16,129,12.9,24,2,1,0,0,0,0,18.9
Cooper Kupp (LAR),2022,1,13,15,128,9.8,28,3,1,0,0,0,0,18.8
Stefon Diggs (BUF),2022,1,8,9,122,15.3,53,5,1,0,0,0,0,18.2
Michael Pittman Jr. (IND),2022,1,9,13,121,13.4,28,2,1,0,0,0,0,18.1
Michael Thomas (NO),2022,1,5,8,57,11.4,21,2,2,0,0,0,0,17.7
Devin Duvernay (BAL),2022,1,4,4,54,13.5,25,1,2,0,0,0,0,17.4
Jerry Jeudy (DEN),2022,1,4,7,102,25.5,67,4,1,0,0,0,0,16.2
Chosen Anderson (FA),2022,1,5,8,102,20.4,75,4,1,0,0,0,0,16.2
A.J. Brown (PHI),2022,1,10,13,155,15.5,54,4,0,0,0,0,0,15.5
Jahan Dotson (WAS),2022,1,3,5,40,13.3,24,1,2,1,-10,0,0,15.0
Gabe Davis (BUF),2022,1,4,5,88,22.0,47,4,1,0,0,0,0,14.8
Jaylen Waddle (MIA),2022,1,4,5,69,17.3,42,3,1,1,8,0,0,13.7
Sterling Shepard (NYG),2022,1,2,4,71,35.5,65,4,1,0,0,0,0,13.1
Mike Evans (TB),2022,1,5,7,71,14.2,20,1,1,0,0,0,0,13.1
Amon-Ra St. Brown (DET),2022,1,8,12,64,8.0,29,1,1,0,0,0,0,12.4
DeAndre Carter (FA),2022,1,3,4,64,21.3,30,3,1,0,0,0,0,12.4
Rashod Bateman (BAL),2022,1,2,5,59,29.5,55,4,1,0,0,0,0,11.9
Terry McLaurin (WAS),2022,1,2,4,58,29.0,49,3,1,0,0,0,0,11.8
Christian Kirk (JAC),2022,1,6,12,117,19.5,49,4,0,0,0,0,0,11.7
Jarvis Landry (FA),2022,1,7,9,114,16.3,40,5,0,0,0,0,0,11.4
Curtis Samuel (WAS),2022,1,8,11,55,6.9,13,0,1,4,17,0,1,11.2
DJ Chark Jr. (CAR),2022,1,4,8,52,13.0,22,1,1,0,0,0,0,11.2
Dante Pettis (FA),2022,1,1,1,51,51.0,51,4,1,0,0,0,0,11.1
Deebo Samuel (SF),2022,1,2,7,14,7.0,8,0,0,8,52,1,1,10.6
Marquise Brown (ARI),2022,1,4,6,43,10.8,26,1,1,0,0,0,0,10.3
Tyreek Hill (MIA),2022,1,8,12,94,11.8,26,2,0,1,6,0,0,10.0
Tyler Boyd (CIN),2022,1,4,7,33,8.3,22,1,1,0,0,0,0,9.3
Julio Jones (FA),2022,1,3,5,69,23.0,48,3,0,2,17,0,0,8.6
Brandin Cooks (DAL),2022,1,7,12,82,11.7,42,3,0,0,0,0,0,8.2
Isaiah McKenzie (IND),2022,1,2,3,19,9.5,12,0,1,0,0,0,0,7.9
Equanimeous St. Brown (CHI),2022,1,1,3,18,18.0,18,0,1,0,0,0,0,7.8
Corey Davis (NYJ),2022,1,6,10,77,12.8,17,0,0,0,0,0,0,7.7
Mecole Hardman (NYJ),2022,1,3,6,16,5.3,8,0,1,0,0,0,0,7.6
Drake London (ATL),2022,1,5,7,74,14.8,31,2,0,0,0,0,0,7.4
Courtland Sutton (DEN),2022,1,4,7,72,18.0,30,2,0,0,0,0,0,7.2
Noah Brown (HOU),2022,1,5,9,68,13.6,22,1,0,0,0,0,0,6.8
Keenan Allen (LAC),2022,1,4,4,66,16.5,42,3,0,0,0,0,0,6.6
Zay Jones (JAC),2022,1,6,9,65,10.8,18,0,0,0,0,0,0,6.5
Greg Dortch (ARI),2022,1,7,9,63,9.0,24,1,0,0,0,0,0,6.3
Jakobi Meyers (LV),2022,1,4,6,55,13.8,27,1,0,1,7,0,0,6.2
Jauan Jennings (SF),2022,1,4,6,62,15.5,44,3,0,0,0,0,0,6.2
Richie James Jr. (FA),2022,1,5,6,59,11.8,16,0,0,1,2,0,0,6.1
Chris Olave (NO),2022,1,3,3,41,13.7,20,1,0,0,0,0,0,6.1
Donovan Peoples-Jones (CLE),2022,1,6,11,60,10.0,15,0,0,0,0,0,0,6.0
JuJu Smith-Schuster (NE),2022,1,6,8,79,13.2,20,1,0,0,0,0,1,5.9
Treylon Burks (TEN),2022,1,3,5,55,18.3,27,2,0,0,0,0,0,5.5
Diontae Johnson (PIT),2022,1,7,12,55,7.9,25,1,0,0,0,0,0,5.5
Chase Claypool (CHI),2022,1,4,6,18,4.5,6,0,0,6,36,0,0,5.4
Garrett Wilson (NYJ),2022,1,4,8,52,13.0,19,0,0,0,0,0,0,5.2
DJ Moore (CHI),2022,1,3,6,43,14.3,26,1,0,1,7,0,0,5.0
Elijah Moore (CLE),2022,1,5,7,49,9.8,24,1,0,0,0,0,0,4.9
Romeo Doubs (GB),2022,1,4,5,37,9.3,23,1,0,1,11,0,0,4.8
Brandon Aiyuk (SF),2022,1,2,3,40,20.0,31,2,0,1,7,0,0,4.7
Kyle Philips (TEN),2022,1,6,9,66,11.0,21,2,0,0,0,0,1,4.6
Ashton Dulin (IND),2022,1,3,6,46,15.3,23,1,0,0,0,0,0,4.6
Kendrick Bourne (NE),2022,1,1,1,41,41.0,41,3,0,0,0,0,0,4.1
Christian Watson (GB),2022,1,2,4,34,17.0,25,1,0,1,7,0,0,4.1
Marquez Valdes-Scantling (KC),2022,1,4,4,44,11.0,17,0,0,1,-3,0,0,4.1
Anthony Schwartz (CLE),2022,1,1,2,19,19.0,19,0,0,2,20,0,0,3.9
Marvin Jones Jr. (FA),2022,1,4,6,38,9.5,12,0,0,0,0,0,0,3.8
KhaDarel Hodge (FA),2022,1,3,3,38,12.7,18,0,0,0,0,0,0,3.8
Braxton Berrios (MIA),2022,1,5,6,37,7.4,13,0,0,0,0,0,0,3.7
Parris Campbell (NYG),2022,1,3,4,37,12.3,20,1,0,0,0,0,0,3.7
Adam Thielen (CAR),2022,1,3,4,36,12.0,22,1,0,0,0,0,0,3.6
Mike Strachan (IND),2022,1,2,2,36,18.0,20,1,0,0,0,0,0,3.6
Chris Godwin (TB),2022,1,3,3,35,11.7,24,1,0,0,0,0,0,3.5
Chris Moore (FA),2022,1,3,3,31,10.3,11,0,0,0,0,0,0,3.1
Skyy Moore (KC),2022,1,1,1,30,30.0,30,2,0,0,0,0,0,3.0
CeeDee Lamb (DAL),2022,1,2,11,29,14.5,16,0,0,0,0,0,0,2.9
Olamide Zaccheaus (FA),2022,1,4,4,49,12.3,22,1,0,0,0,0,1,2.9
Tyler Lockett (SEA),2022,1,3,4,28,9.3,17,0,0,0,0,0,0,2.8
Josh Reynolds (DET),2022,1,1,3,28,28.0,28,1,0,0,0,0,0,2.8
Cedrick Wilson Jr. (MIA),2022,1,2,2,20,10.0,12,0,0,1,8,0,0,2.8
Jamison Crowder (NYG),2022,1,3,4,28,9.3,11,0,0,0,0,0,0,2.8
Tee Higgins (CIN),2022,1,2,2,27,13.5,18,0,0,0,0,0,0,2.7
Nico Collins (HOU),2022,1,2,3,26,13.0,18,0,0,0,0,0,0,2.6
Ben Skowronek (LAR),2022,1,4,6,25,6.3,12,0,0,0,0,0,0,2.5
Mike Thomas (BAL),2022,1,1,5,5,5.0,5,0,0,0,0,0,0,2.5
Kadarius Toney (KC),2022,1,0,0,0,0.0,0,0,0,2,23,0,0,2.3
Byron Pringle (FA),2022,1,1,2,22,22.0,22,1,0,0,0,0,0,2.2
Cody Hollister (TEN),2022,1,1,1,22,22.0,22,1,0,0,0,0,0,2.2
Marquise Goodwin (CLE),2022,1,2,2,22,11.0,16,0,0,0,0,0,0,2.2
Kenny Golladay (FA),2022,1,2,2,22,11.0,15,0,0,0,0,0,0,2.2
Hunter Renfrow (LV),2022,1,3,6,21,7.0,9,0,0,0,0,0,0,2.1
Ray-Ray McCloud III (SF),2022,1,1,2,20,20.0,20,1,0,0,0,0,0,2.0
Demarcus Robinson (FA),2022,1,2,4,19,9.5,11,0,0,0,0,0,0,1.9
Sammy Watkins (FA),2022,1,3,3,18,6.0,9,0,0,0,0,0,0,1.8
Amari Cooper (CLE),2022,1,3,6,17,5.7,9,0,0,0,0,0,0,1.7
Juwann Winfree (FA),2022,1,1,1,17,17.0,17,0,0,0,0,0,0,1.7
Mack Hollins (ATL),2022,1,1,1,16,16.0,16,0,0,0,0,0,0,1.6
DK Metcalf (SEA),2022,1,7,7,36,5.1,15,0,0,0,0,0,1,1.6
Dennis Houston (DAL),2022,1,2,5,16,8.0,11,0,0,0,0,0,0,1.6
Randall Cobb (FA),2022,1,2,3,14,7.0,8,0,0,0,0,0,0,1.4
K.J. Osborn (MIN),2022,1,3,4,14,4.7,7,0,0,0,0,0,0,1.4
A.J. Green (FA),2022,1,2,4,13,6.5,8,0,0,0,0,0,0,1.3
